Tier,Country,Organization Name,Why Priority,Partnership Type,Estimated Reach,Cities of Overlap with MI
Tier 1,Colombia,Bancamía,Strong financial inclusion bank with Bogotá presence and large microentrepreneur base.,MFI,"5 - Excellent (1,000+)",Bogotá
Tier 1,Colombia,Banco W,Large structured microfinance client base with Bogotá presence.,MFI,"5 - Excellent (1,000+)",Bogotá
Tier 1,Colombia,Banco Mundo Mujer,Strong women entrepreneur focus with Bogotá presence and excellent scale.,MFI,"5 - Excellent (1,000+)",Bogotá
Tier 1,Colombia,Fundación WWB Colombia,High-quality women entrepreneur pipeline with Bogotá presence.,"NGO, Women-Focused, Entrepreneur Support Org",4 - Very Good (500-999),Bogotá
Tier 1,Dominican Republic,ADOPEM,One of the strongest DR partners; women-focused microfinance with large Santo Domingo pipeline.,MFI,"5 - Excellent (1,000+)",Santo Domingo
Tier 1,Dominican Republic,Esperanza International,"Very close MI analogue; combines lending, training, mentorship, and large entrepreneur cohorts.","MFI, Faith-Based","5 - Excellent (1,000+)",Santo Domingo
Tier 1,Dominican Republic,BANFONDESA,Strong underserved-population focus with scalable urban pipeline in Santo Domingo.,MFI,"5 - Excellent (1,000+)",Santo Domingo
Tier 1,Dominican Republic,ECLOF Dominican Republic,Faith-based loans plus training; strong Santo Domingo microentrepreneur access.,"MFI, Faith-Based",4 - Very Good (500-999),Santo Domingo
Tier 1,Dominican Republic,Mujeres en Desarrollo Dominicana,Women-focused grassroots pipeline in Santo Domingo; smaller but highly aligned.,"NGO, Women-Focused",3 - Good (200-499),Santo Domingo
Tier 1,Kenya,Hand in Hand Eastern Africa,Strong MI alignment; large women-focused microenterprise pipeline in Nairobi.,"Entrepreneur Support Org, NGO","5 - Excellent (1,000+)",Nairobi
Tier 1,Peru,Movimiento Manuela Ramos,Strong women entrepreneur pipeline and direct Trujillo overlap.,"NGO, Women-Focused",3 - Good (200-499),Trujillo
Tier 2,Cambodia,Friends International,Strong urban fit in Phnom Penh and Siem Reap; works with marginalized youth on livelihoods and small business pathways.,"NGO, Entrepreneur Support Org",4 - Very Good (500-999),"Phnom Penh, Siem Reap"
Tier 2,Cambodia,SHE Investments,"Women-focused incubator with training, mentoring, and financing; strong pipeline in Phnom Penh and Siem Reap.","Women-Focused, Entrepreneur Support Org",3 - Good (200-499),"Phnom Penh, Siem Reap"
Tier 2,Cambodia,Women’s Resource Center Cambodia,"Women entrepreneurs, financial literacy, and small business support in Phnom Penh and Siem Reap.","NGO, Women-Focused",2 - Fair (50-199),"Phnom Penh, Siem Reap"
Tier 2,Cambodia,Banteay Srei,Women’s economic empowerment with overlap in Siem Reap and Battambang.,"NGO, Women-Focused",2 - Fair (50-199),"Siem Reap, Battambang"
Tier 2,Ghana,Sinapi Aba Trust,Faith-based MFI with strong group-lending model and presence in both Accra and Tamale.,"MFI, Faith-Based","5 - Excellent (1,000+)","Accra, Tamale"
Tier 2,Honduras,ODEF Financiera,Strong MFI focused on microentrepreneurs with San Pedro Sula operations.,MFI,4 - Very Good (500-999),San Pedro Sula
Tier 2,Honduras,CDE MIPYME Honduras,Business development center network with San Pedro Sula pipeline of pre-screened entrepreneurs.,Entrepreneur Support Org,4 - Very Good (500-999),San Pedro Sula
Tier 2,Honduras,VisionFund Honduras,Faith-based MFI with San Pedro Sula presence and organized entrepreneur groups.,"MFI, Faith-Based",4 - Very Good (500-999),San Pedro Sula
Tier 2,Honduras,ProMujer Honduras,Women-focused financial services and training with San Pedro Sula presence.,"INGO, Women-Focused, Entrepreneur Support Org",4 - Very Good (500-999),San Pedro Sula
Tier 2,Mexico,Fundación ProEmpleo,"Directly overlaps Mérida; strong business training, mentoring, and incubation model.","NGO, Entrepreneur Support Org",4 - Very Good (500-999),Mérida
Tier 2,Mexico,VisionFund Mexico,Faith-based MFI with likely Chiapas overlap near Tuxtla; strong direct microentrepreneur pipeline.,"MFI, Faith-Based",4 - Very Good (500-999),Tuxtla / Chiapas corridor
Tier 3,Cape Verde,Pro Empresa Cabo Verde,"Best single entry point for urban MSMEs in Praia; provides training, formalization, and business support.","Government, Entrepreneur Support Org",3 - Good (200-499),Praia
Tier 3,Guatemala,Fundación Génesis Empresarial,Large-scale microfinance institution with Guatemala City presence and direct pipeline.,"NGO, MFI","5 - Excellent (1,000+)",Guatemala City
Tier 3,Guatemala,FINCA Guatemala,Strong group-lending model and structured cohorts in Guatemala City.,"INGO, MFI",4 - Very Good (500-999),Guatemala City
Tier 3,Guatemala,Pro Mujer Guatemala,Strong urban/semi-urban women entrepreneur pipeline in Guatemala City.,"INGO, Women-Focused, Entrepreneur Support Org",4 - Very Good (500-999),Guatemala City
Tier 3,Malawi,FINCA Malawi,Strong group-lending model with reliable cohorts of microentrepreneurs and excellent mission alignment.,"MFI, INGO",4 - Very Good (500-999),Lilongwe
Tier 3,Malawi,Vision Fund Malawi,Faith-based microfinance organization with strong alignment and organized entrepreneur groups.,"MFI, Faith-Based",4 - Very Good (500-999),Lilongwe
Tier 3,Nicaragua,Banco FAMA,Large MFI with Managua presence and strong urban microentrepreneur focus.,MFI,"5 - Excellent (1,000+)",Managua
Tier 3,Nicaragua,FINCA Nicaragua,Global MFI with Managua operations and strong group-lending cohort model.,"MFI, INGO","5 - Excellent (1,000+)",Managua
Tier 3,Nicaragua,Pro Mujer Nicaragua,"Strong MI-aligned model combining credit, training, and services for women entrepreneurs in Managua.","NGO, Women-Focused, Entrepreneur Support Org","5 - Excellent (1,000+)",Managua
