Tier,Country,Organization Name,Status,Category,Alignment with MI (1-5),Urban Relevance (1-5),Scale Potential (1-5),Geographic Reach,Website,Notes,Confirmed / Likely Urban & Peri-Urban Areas of Operation,Confidence Level,Alignment Numeric (Ignore),Scale Numberic (Ignore),align_n,scale_n,urban_n
Potential,Ecuador,Banco VisionFund Ecuador (World Vision),Idea,"MFI, Faith-Based, INGO",5 - Excellent Fit,4 – Strong Urban Presence,4 - Very Good (500-999),4 - International,https://visionfund.ec/,Directly serves vulnerable microentrepreneurs through microfinance and livelihoods programming. Strong poverty alleviation orientation and likely strong urban/peri-urban entrepreneur pipeline through World Vision ecosystem.,"Quito, Guayaquil, Cuenca, Santo Domingo",High,5,4,5,4,4
Potential,Ecuador,Fundación de Apoyo Comunitario y Social del Ecuador (FACES),Idea,NGO,3 - Good Fit,3 – Mixed (Urban + Rural),2 - Fair (50-199),2 - Regional,https://faces.org.ec/,"Community and social development orientation with some entrepreneurship overlap, though entrepreneur pipeline appears less direct and more relationship-dependent.","Guayaquil, Quito",Medium,3,2,3,2,3
Potential,Ecuador,Fundación Espoir,Idea,"Women-Focused, NGO, MFI",5 - Excellent Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",3 - National,https://www.espoir.org.ec/,"One of the strongest MI fits in Ecuador. Directly serves low-income women microentrepreneurs in urban and peri-urban areas through lending, entrepreneurship support, and financial inclusion.","Guayaquil, Quito, Santo Domingo, Machala",High,5,5,5,5,5
Potential,Ecuador,Pan de Vida / Hope Ventures,Idea,"Entrepreneur Support Org, NGO, Faith-Based",4 - Very Good Fit,3 – Mixed (Urban + Rural),2 - Fair (50-199),2 - Regional,http://hopeventures.org/ecuador,"Faith-based entrepreneurship and livelihoods support organization. Likely strong mentoring complementarity, though scale and urban density appear somewhat moderate.","Quito, Guayaquil",Medium,4,2,4,2,3
Potential,Ecuador,Cooperativa Jardín Azuayo,Idea,"MFI, Co-op",4 - Very Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://www.jardinazuayo.fin.ec/,Strong social finance cooperative serving small entrepreneurs and vulnerable populations. Historically rural but increasingly relevant in peri-urban economic ecosystems.,"Cuenca, Loja, Azogues, peri-urban southern corridor communities",High,4,5,4,5,3
Potential,Ecuador,Cooperativa Maquita Cushunchic,Idea,"Co-op, Women-Focused",4 - Very Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),3 - National,https://www.maquita.fin.ec/,Strong poverty alleviation and solidarity economy orientation. Supports vulnerable producers and entrepreneurs. Historically rural-focused but increasingly connected to urban and peri-urban market systems.,"Quito, Riobamba, Latacunga",Medium,4,3,4,3,3
Potential,Ecuador,Cooperativa Andalucía,Idea,"Co-op, MFI",3 - Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),2 - Regional,https://www.andalucia.fin.ec/,"General cooperative financial services institution with some entrepreneur exposure, though less explicit microenterprise focus.","Quito, Ambato",Medium,3,3,3,3,3
Potential,Ecuador,Cooperativa 29 de Octubre,Idea,"MFI, Co-op",3 - Good Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",3 - National,https://www.29deoctubre.fin.ec/,"Large cooperative with urban branch presence and small business lending exposure, though not explicitly microenterprise-development focused.","Quito, Guayaquil, Cuenca, Manta",High,3,5,3,5,4
Potential,Ecuador,Banco CODESARROLLO,Idea,"Faith-Based, MFI",5 - Excellent Fit,4 – Strong Urban Presence,4 - Very Good (500-999),3 - National,https://www.bancodesarrollo.fin.ec/,"Strong inclusive finance institution serving vulnerable entrepreneurs, cooperatives, and underserved populations. Strong mentoring complementarity and significant urban/peri-urban relevance.","Quito, Riobamba, Ambato",High,5,4,5,4,4
Potential,Ecuador,Banco D-MIRO (acquired by Banco Atlántida),Idea,MFI,5 - Excellent Fit,4 – Strong Urban Presence,4 - Very Good (500-999),3 - National,https://www.bancoatlantida.ec/nuestro-banco/mision-vision/,"Banco D-MIRO was acquired by Grupo Atlántida, expanding Atlántida’s microfinance footprint and entrepreneur lending capacity in Ecuador. Strong microenterprise-focused lender serving vulnerable entrepreneurs and informal businesses with strong mentoring complementarity.","Guayaquil, Quito, Durán",High,5,4,5,4,4
