Tier,Country,Organization Name,Status,Category,Alignment with MI (1-5),Urban Relevance (1-5),Scale Potential (1-5),Geographic Reach,Website,Notes,Confirmed / Likely Urban & Peri-Urban Areas of Operation,Confidence Level,Alignment Numeric (Ignore),Scale Numberic (Ignore),align_n,scale_n,urban_n
Tier 1,Dominican Republic,Banco de Ahorro y Crédito Adopem (ADOPEM),Idea,MFI,5 - Excellent Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",3 - National,https://bancoadopem.com.do/,"One of the strongest partners in DR; women-focused microfinance with a large, direct urban entrepreneur base and strong social mission.","Santo Domingo, Santiago, San Pedro de Macorís, La Romana, San Cristóbal",High,5,5,5,5,4.0
Tier 1,Dominican Republic,Banco ADEMI,Idea,MFI,4 - Very Good Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://bancoademi.com.do/,"Large MFI with broad urban reach; strong pipeline access, though slightly more commercially oriented than ADOPEM.","Santo Domingo, Santiago, La Vega, San Francisco de Macorís, San Cristóbal",High,4,5,4,5,3.0
Tier 1,Dominican Republic,BANFONDESA,Idea,MFI,5 - Excellent Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",3 - National,https://banfondesa.com.do/,"Strong focus on underserved populations, including women and youth; excellent mission alignment and scalable pipeline.","Santo Domingo, Santiago, Puerto Plata, San Cristóbal, La Vega",Medium,5,5,5,5,3.0
Tier 1,Dominican Republic,ECLOF Dominican Republic,Idea,"MFI, Faith-Based",5 - Excellent Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://www.eclof.org/portfolio-item/dominican-republic/,Faith-based model with loans + training; very strong alignment with MI and good access to urban microentrepreneurs.,"Santo Domingo, Santiago, peri-urban communities surrounding major cities",Medium,5,4,5,4,3.0
Tier 1,Dominican Republic,Esperanza International,Idea,"MFI, Faith-Based",5 - Excellent Fit,4 – Strong Urban Presence,"5 - Excellent (1,000+)",4 - International,https://esperanza.org/,"One of the closest MI analogues; combines lending, training, and mentorship with a very large, structured entrepreneur pipeline.","Santo Domingo, Santiago, San Pedro de Macorís, La Romana, Puerto Plata",High,5,5,5,5,4.0
Tier 1,Dominican Republic,Fundación Reservas del País,Idea,"Corporate, Government",4 - Very Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://fundacionreservas.com/,Works through partner MFIs and organizations; strong reach but slightly indirect pipeline.,"Santo Domingo, Santiago, La Vega, San Cristóbal",Medium,4,4,4,4,3.0
Tier 1,Dominican Republic,Fundación CODESPA,Idea,"INGO, Entrepreneur Support Org",3 - Good Fit,3 – Mixed (Urban + Rural),3 - Good (200-499),4 - International,https://us.codespa.org/,Strong livelihoods and microenterprise programs; accessible cohorts but typically program-based.,"Santo Domingo, Santiago",Medium,3,3,3,3,3.0
Tier 1,Dominican Republic,Fundación Dominicana de Desarrollo,Idea,"NGO, Entrepreneur Support Org",4 - Very Good Fit,4 – Strong Urban Presence,4 - Very Good (500-999),3 - National,https://fdd.org.do/,Longstanding organization focused on microenterprise development; strong pipeline and high mission alignment.,"Santo Domingo, Santiago, San Cristóbal",High,4,4,4,4,4.0
Tier 1,Dominican Republic,Junior Achievement Dominican Republic (JADOM),Idea,"NGO, Entrepreneur Support Org",3 - Good Fit,4 – Strong Urban Presence,4 - Very Good (500-999),3 - National,https://jadom.org/,Strong youth entrepreneurship training; pipeline exists but less focused on active microentrepreneurs.,"Santo Domingo, Santiago, La Romana",High,3,4,3,4,4.0
Tier 1,Dominican Republic,Mujeres en Desarrollo Dominicana,Idea,"NGO, Women-Focused",5 - Excellent Fit,4 – Strong Urban Presence,3 - Good (200-499),2 - Regional,https://mude.org.do/,Strong focus on women entrepreneurs; good grassroots pipeline but smaller scale.,"Santo Domingo, Santiago, surrounding peri-urban communities",Medium,5,3,5,3,4.0
Tier 1,Dominican Republic,Cooperativa Nacional de Servicios Múltiples,Idea,Co-op,4 - Very Good Fit,3 – Mixed (Urban + Rural),4 - Very Good (500-999),3 - National,https://coopnama.coop/,Member-based cooperative with strong trust and access to microentrepreneurs; good pipeline potential.,"Santo Domingo, Santiago, San Cristóbal, La Vega",Medium,4,4,4,4,3.0
Tier 1,Dominican Republic,Opportunity International,Idea,INGO,3 - Good Fit,Unknown,4 - Very Good (500-999),4 - International,https://opportunityinternational.ca/what-we-do/where-we-work/dominican-republic/,Works through local partners; mission aligned but indirect pipeline access.,"Santo Domingo, Santiago",Low,3,4,3,4,
Tier 1,Dominican Republic,Dominican Foundation,Idea,"NGO, Entrepreneur Support Org",2 - Fair Fit,Unknown,2 - Fair (50-199),2 - Regional,https://dominicanfoundation.org/,Focus on entrepreneurship training; strong alignment but small-scale pipeline.,Santo Domingo,Low,2,2,2,2,
Tier 1,Dominican Republic,IDDI (Instituto Dominicano de Desarrollo Integral),Idea,"NGO, Entrepreneur Support Org",4 - Very Good Fit,4 – Strong Urban Presence,3 - Good (200-499),3 - National,https://iddi.org/,Well-established development NGO with microenterprise and livelihoods programs; moderate but reliable pipeline.,"Santo Domingo, Santiago, San Cristóbal",High,4,3,4,3,4.0
Tier 1,Dominican Republic,Mastercard Foundation - EMPRO Dominican Republic,Idea,Corporate,3 - Good Fit,4 – Strong Urban Presence,4 - Very Good (500-999),4 - International,https://incae.edu/en/impacto-y-sostenibilidad/empro-rd/,Supports entrepreneurship programs through partners; strong mission alignment but indirect pipeline.,"Santo Domingo, Santiago",Medium,3,4,3,4,4.0
Tier 1,Kenya,TechnoServe (Smart Duka program),Idea,"INGO, Entrepreneur Support Org",3 - Good Fit,5 – Highly Urban-Focused,"5 - Excellent (1,000+)",4 - International,https://www.technoserve.org/fight-poverty/projects/smart-duka-empowering-shopkeepers-in-nairobi/,Works with thousands of Nairobi shopkeepers (dukas) in informal settlements. Extremely strong fit for urban retail microentrepreneurs,"Nairobi (Kibera, Mathare, Eastlands)",High,3,5,3,5,5.0
Tier 1,Kenya,Hand in Hand Eastern Africa,Idea,"Entrepreneur Support Org, NGO",5 - Excellent Fit,3 – Mixed (Urban + Rural),"5 - Excellent (1,000+)",4 - International,https://handinhand-ea.org/,One of the largest job-creation NGOs in Kenya. Strong women-focused microenterprise pipeline in urban areas,"Nairobi, Kisumu, Mombasa, peri-urban Nairobi counties",Medium,5,5,5,5,3.0
